larva,side,rod,length,ate,Food_conc,Food_species,fed,lit,condition,larvae_per_well,lar_ml,hpf,dpf,species
1,R,BR,,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
1,R,PO,105.4,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
1,R,ALA,168.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
1,L,BR,170,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
1,L,PO,92.7,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
1,L,ALA,NA,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
2,R,BR,184,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
2,R,PO,80.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
2,R,ALA,NA,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
2,L,BR,178.3,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
2,L,PO,87.2,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
2,L,ALA,127.5,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
3,R,BR,170,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
3,R,PO,106.7,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
3,R,ALA,152.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
3,L,BR,171.4,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
3,L,PO,103.4,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
3,L,ALA,153.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
4,R,BR,185.5,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
4,R,PO,96.6,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
4,R,ALA,144.4,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
4,L,BR,193.5,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
4,L,PO,75.8,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
4,L,ALA,144.5,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
5,R,BR,174.4,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
5,R,PO,NA,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
5,R,ALA,143.5,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
5,L,BR,174.8,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
5,L,PO,96.3,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
5,L,ALA,151.1,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
6,R,BR,193.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
6,R,PO,91.1,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
6,R,ALA,NA,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
6,L,BR,188.8,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
6,L,PO,95,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
6,L,ALA,NA,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
7,R,BR,158.2,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
7,R,PO,104.4,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
7,R,ALA,137.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
7,L,BR,161.8,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
7,L,PO,90.8,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
7,L,ALA,133.2,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
8,R,BR,169.3,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
8,R,PO,89.9,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
8,R,ALA,138.6,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
8,L,BR,170.6,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
8,L,PO,101.4,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
8,L,ALA,134.5,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
9,R,BR,165.8,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
9,R,PO,103.7,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
9,R,ALA,155,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
9,L,BR,177,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
9,L,PO,96.2,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
9,L,ALA,141.9,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
10,R,BR,172.8,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
10,R,PO,102.1,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
10,R,ALA,158.7,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
10,L,BR,177.2,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
10,L,PO,117.3,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
10,L,ALA,151.5,YES,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
11,R,BR,164.8,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
11,R,PO,100.6,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
11,R,ALA,118.6,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
11,L,BR,164.8,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
11,L,PO,101.8,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
11,L,ALA,NA,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
12,R,BR,176.8,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
12,R,PO,96.8,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
12,R,ALA,NA,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
12,L,BR,178.5,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
12,L,PO,100.2,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
12,L,ALA,NA,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
13,R,BR,168.5,NO,5,D_tertiolecta,Fed,LD,DMSO,100,25,144,6,Sp
